Strict Extent,Relaxed Extent,Relaxed Type,Relaxed Unit,F1 Val,index
47.02333333333333,71.19333333333334,60.876666666666665,53.870000000000005,52.34,0
86.61,94.02333333333333,87.57333333333334,84.00333333333333,64.92333333333333,10
86.12666666666667,92.87,86.85666666666667,84.22333333333334,66.38666666666667,20
87.64666666666666,94.05999999999999,86.69666666666667,86.93333333333332,67.45666666666666,30
87.75333333333333,94.17,87.74666666666667,87.27,67.3,40
87.00333333333333,94.16000000000001,87.00666666666666,87.47666666666667,68.65666666666667,50
90.04666666666667,94.55333333333334,89.10000000000001,88.62333333333333,68.48666666666666,60
90.26,95.24666666666667,87.64666666666666,90.25999999999999,66.51333333333334,70
89.69666666666666,94.67333333333333,87.09666666666668,89.70666666666666,67.69,80
89.52666666666666,94.52333333333333,87.86,88.57333333333334,67.86,90
90.49666666666667,94.53666666666668,87.88666666666667,89.07666666666667,67.45666666666666,100
