strict_timex_fscore,relaxed_timex_fscore,strict_type_fscore,relaxed_type_fscore,relaxed_value_fscore,gold_len,system_len
89.92,93.02,77.39463602,80.62,0,138,120
90.57,93.58,82.39700375,85.28,0,138,127
84.85,93.18,77.73584906,84.09,0,138,126
91.32,94.34,82.70676692,85.28,0,138,127
88.3,93.58,80.14981273,84.53,0,138,127
,,0,,,,
88.992,93.54,80.076813696,83.96,,,
,,,,,,
,,,,,,
91.32,94.34,82.70676692,85.28,,,
,,,,,,
84.85,93.02,77.39463602,80.62,,,
