STR_E, REL_E, STR_T, REL_T, STR_U, REL_U, F1_VAL, GOLD, SYS, ACC_VAL

#TE3 (1-5)
89.05,94.7,83.39,85.51,84.1,88.34,65.02,140,143,68.66
89.36,95.04,82.98,85.82,84.4,88.65,63.83,140,142,67.16
88.57,94.29,85.0,86.43,84.29,87.14,65.71,140,140,69.7
90.07,94.33,85.82,87.23,85.82,88.65,68.09,140,142,72.18
90.71,94.29,84.29,85.71,86.43,89.29,65.71,140,140,69.7
89.29,95.0,85.0,86.43,84.29,87.86,64.29,140,140,67.67
91.17,94.7,85.51,86.22,86.22,88.34,66.43,140,143,70.15
91.17,94.7,86.22,87.63,86.22,89.05,66.43,140,143,70.15
89.61,94.62,83.87,85.3,85.3,88.17,63.8,140,139,67.42
90.07,95.04,85.82,87.94,85.11,88.65,68.79,140,142,72.39


92.2,95.04,86.52,87.23,86.52,88.65,60.28,140,142,63.43
91.49,95.04,87.23,88.65,87.23,89.36,62.41,140,142,65.67
91.49,95.04,87.23,88.65,87.23,89.36,60.99,140,142,64.18
91.49,95.04,87.23,88.65,87.23,89.36,51.06,140,142,53.73
91.49,95.04,87.23,88.65,87.23,89.36,51.06,140,142,53.73
91.49,95.04,87.23,88.65,87.23,89.36,51.06,140,142,53.73
91.49,95.04,87.23,88.65,87.23,89.36,51.06,140,142,53.73
91.49,95.04,87.23,88.65,87.23,89.36,67.38,140,142,70.9
92.2,95.04,86.52,87.23,86.52,88.65,65.25,140,142,68.66
