Strict Extent,Relaxed Extent,Relaxed Type,Relaxed Unit,F1 Val,index
87.16000000000001,94.23,83.15333333333334,84.32666666666667,57.946666666666665,10
84.69,93.71,83.27,85.41666666666667,58.35666666666666,20
87.63333333333333,94.23,84.81333333333333,86.69,60.553333333333335,30
88.64999999999999,94.56666666666666,85.58,87.23,62.88666666666666,40
88.07666666666667,94.45333333333333,85.95666666666666,88.54666666666667,64.94,50
89.25666666666666,94.45,87.60666666666667,88.30666666666667,67.53666666666668,60
90.8,95.05000000000001,87.26666666666665,88.67999999999999,66.04,70
91.14333333333333,95.16333333333334,88.54666666666667,89.73,68.47666666666667,80
90.80333333333333,94.81333333333333,86.79333333333334,87.73666666666668,67.69,90
90.77999999999999,94.80000000000001,88.18333333333334,88.89,68.56,100
